icd_10_cm_code,icd_10_cm_code_description,default_ccsr_category_ip,default_ccsr_category_description_ip,default_ccsr_category_op,default_ccsr_category_description_op,ccsr_category_1,ccsr_category_1_description,ccsr_category_2,ccsr_category_2_description,ccsr_category_3,ccsr_category_3_description,ccsr_category_4,ccsr_category_4_description,ccsr_category_5,ccsr_category_5_description,ccsr_category_6,ccsr_category_6_description
M84342P,"Stress fracture, left hand, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84342S,"Stress fracture, left hand, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84343A,"Stress fracture, unspecified hand, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84343D,"Stress fracture, unspecified hand, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84343G,"Stress fracture, unspecified hand, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84343K,"Stress fracture, unspecified hand, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84343P,"Stress fracture, unspecified hand, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84343S,"Stress fracture, unspecified hand, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84344A,"Stress fracture, right finger(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84344D,"Stress fracture, right finger(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84344G,"Stress fracture, right finger(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84344K,"Stress fracture, right finger(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84344P,"Stress fracture, right finger(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84344S,"Stress fracture, right finger(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84345A,"Stress fracture, left finger(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84345D,"Stress fracture, left finger(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84345G,"Stress fracture, left finger(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84345K,"Stress fracture, left finger(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84345P,"Stress fracture, left finger(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84345S,"Stress fracture, left finger(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84346A,"Stress fracture, unspecified finger(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84346D,"Stress fracture, unspecified finger(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84346G,"Stress fracture, unspecified finger(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84346K,"Stress fracture, unspecified finger(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84346P,"Stress fracture, unspecified finger(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84346S,"Stress fracture, unspecified finger(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84350A,"Stress fracture, pelvis, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84350D,"Stress fracture, pelvis, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84350G,"Stress fracture, pelvis, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84350K,"Stress fracture, pelvis, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84350P,"Stress fracture, pelvis, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84350S,"Stress fracture, pelvis, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84351A,"Stress fracture, right femur, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84351D,"Stress fracture, right femur, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84351G,"Stress fracture, right femur, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84351K,"Stress fracture, right femur, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84351P,"Stress fracture, right femur, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84351S,"Stress fracture, right femur, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84352A,"Stress fracture, left femur, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84352D,"Stress fracture, left femur, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84352G,"Stress fracture, left femur, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84352K,"Stress fracture, left femur, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84352P,"Stress fracture, left femur, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84352S,"Stress fracture, left femur, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84353A,"Stress fracture, unspecified femur, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84353D,"Stress fracture, unspecified femur, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84353G,"Stress fracture, unspecified femur, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84353K,"Stress fracture, unspecified femur, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84353P,"Stress fracture, unspecified femur, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84353S,"Stress fracture, unspecified femur, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84359A,"Stress fracture, hip, unspecified, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84359D,"Stress fracture, hip, unspecified, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84359G,"Stress fracture, hip, unspecified, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84359K,"Stress fracture, hip, unspecified, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84359P,"Stress fracture, hip, unspecified, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84359S,"Stress fracture, hip, unspecified, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84361A,"Stress fracture, right tibia, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84361D,"Stress fracture, right tibia, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84361G,"Stress fracture, right tibia, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84361K,"Stress fracture, right tibia, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84361P,"Stress fracture, right tibia, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84361S,"Stress fracture, right tibia, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84362A,"Stress fracture, left tibia, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84362D,"Stress fracture, left tibia, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84362G,"Stress fracture, left tibia, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84362K,"Stress fracture, left tibia, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84362P,"Stress fracture, left tibia, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84362S,"Stress fracture, left tibia, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84363A,"Stress fracture, right fibula, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84363D,"Stress fracture, right fibula, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84363G,"Stress fracture, right fibula, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84363K,"Stress fracture, right fibula, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84363P,"Stress fracture, right fibula, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84363S,"Stress fracture, right fibula, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84364A,"Stress fracture, left fibula, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84364D,"Stress fracture, left fibula, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84364G,"Stress fracture, left fibula, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84364K,"Stress fracture, left fibula, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84364P,"Stress fracture, left fibula, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84364S,"Stress fracture, left fibula, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84369A,"Stress fracture, unspecified tibia and fibula, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84369D,"Stress fracture, unspecified tibia and fibula, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84369G,"Stress fracture, unspecified tibia and fibula, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84369K,"Stress fracture, unspecified tibia and fibula, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84369P,"Stress fracture, unspecified tibia and fibula, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84369S,"Stress fracture, unspecified tibia and fibula, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84371A,"Stress fracture, right ankle, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84371D,"Stress fracture, right ankle, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84371G,"Stress fracture, right ankle, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84371K,"Stress fracture, right ankle, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84371P,"Stress fracture, right ankle, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84371S,"Stress fracture, right ankle, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84372A,"Stress fracture, left ankle, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84372D,"Stress fracture, left ankle, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84372G,"Stress fracture, left ankle, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84372K,"Stress fracture, left ankle, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84372P,"Stress fracture, left ankle, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84372S,"Stress fracture, left ankle, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84373A,"Stress fracture, unspecified ankle, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84373D,"Stress fracture, unspecified ankle, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84373G,"Stress fracture, unspecified ankle, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84373K,"Stress fracture, unspecified ankle, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84373P,"Stress fracture, unspecified ankle, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84373S,"Stress fracture, unspecified ankle, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84374A,"Stress fracture, right foot, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84374D,"Stress fracture, right foot, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84374G,"Stress fracture, right foot, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84374K,"Stress fracture, right foot, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84374P,"Stress fracture, right foot, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84374S,"Stress fracture, right foot, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84375A,"Stress fracture, left foot, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84375D,"Stress fracture, left foot, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84375G,"Stress fracture, left foot, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84375K,"Stress fracture, left foot, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84375P,"Stress fracture, left foot, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84375S,"Stress fracture, left foot, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84376A,"Stress fracture, unspecified foot, initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84376D,"Stress fracture, unspecified foot, subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84376G,"Stress fracture, unspecified foot, subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84376K,"Stress fracture, unspecified foot, subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84376P,"Stress fracture, unspecified foot, subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84376S,"Stress fracture, unspecified foot, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
M84377A,"Stress fracture, right toe(s), initial encounter for fracture",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter",MUS016,"Stress fracture, initial encounter", , , , , , , , , , 
M84377D,"Stress fracture, right toe(s), subsequent encounter for fracture with routine healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84377G,"Stress fracture, right toe(s), subsequent encounter for fracture with delayed healing",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84377K,"Stress fracture, right toe(s), subsequent encounter for fracture with nonunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84377P,"Stress fracture, right toe(s), subsequent encounter for fracture with malunion",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter",MUS017,"Stress fracture, subsequent encounter", , , , , , , , , , 
M84377S,"Stress fracture, right toe(s), sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela",MUS020,"Pathological, stress and atypical fractures, sequela", , , , , , , , , , 
